fid,dist,dtm,cond_1
4195.6,1378.2381819117563,105.9,0.006584612777301902
4195.7,1381.2419295709035,106.0,0.006568157979194718
4195.8,1384.2556647948686,106.1,0.006556664135399509
4195.9,1387.2594124540624,106.2,0.006540666929672269
4196.0,1390.273147677865,106.3,0.006524252177319296
4196.1,1393.1986903626455,106.4,0.0065012153326040895
4196.2,1396.1348443095806,106.6,0.006429714665757787
4196.3,1399.0603869941876,106.7,0.006408431678981476
4196.4,1401.996540941183,106.8,0.006381524944729274
4196.5,1404.9320647444438,106.9,0.006359935778314127
4196.6,1407.8582397221921,107.0,0.006330138550904019
4196.7,1410.7937635255691,107.1,0.00630854755416937
4196.8,1413.7193062102335,107.2,0.006292377534979351
4196.9,1416.6554601571686,107.3,0.006274495659908562
4197.0,1419.5909839604294,107.3,0.006304428771759159
4197.1,1422.4727368992396,107.4,0.006279291765549931
4197.2,1425.3544898379657,107.5,0.006255375687747921
4197.3,1428.2362427768078,107.5,0.006266888458018209
4197.4,1431.1179957155339,107.6,0.0062393302456892836
4197.5,1433.999748654344,107.7,0.0062088265955871445
4197.6,1436.891460949838,107.7,0.006227131978294955
4197.7,1439.7723288746088,107.8,0.006197815370888325
4197.8,1442.6540818133349,107.8,0.006213678434630486
4197.9,1445.535834752061,107.9,0.00618549634706173
4198.0,1448.4175876908712,108.0,0.006157695133523744
4198.1,1451.3076568941726,108.1,0.006111390286306171
4198.2,1454.197726097474,108.1,0.006109947724593825
4198.3,1457.0889887973533,108.2,0.0060672578800606124
4198.4,1459.9790580006547,108.3,0.006021260666492064
4198.5,1462.8691272040658,108.4,0.0059871810743440225
4198.6,1465.7591964073672,108.4,0.0059867751245938645
4198.7,1468.6492656106686,108.5,0.005951509657439915
4198.8,1471.53933481397,108.6,0.005922858727592485
4198.9,1474.4294040172715,108.7,0.005882515017242226
4199.0,1477.3206667172633,108.8,0.0058476983298573855
4199.1,1480.255372835447,108.9,0.005800560281960402
4199.2,1483.2013022302735,109.0,0.005754577479504644
4199.3,1486.1373199413795,109.0,0.005750072438305029
4199.4,1489.0832493364449,109.0,0.005743838833185431
4199.5,1492.0192670475508,109.1,0.005702065786072251
4199.6,1494.9552847586651,109.1,0.005702155521740834
4199.7,1497.901214153607,109.2,0.005655526902923972
4199.8,1500.8359202717907,109.2,0.00564695712473901
4199.9,1503.7818496666173,109.3,0.005612045508185766
4200.0,1506.717867377847,109.3,0.005610864772665407
4200.1,1509.7505229798135,109.4,0.005564977511702394
4200.2,1512.7931041209165,109.4,0.005554479501557764
4200.3,1515.8245559182617,109.4,0.005549503514388167
4200.4,1518.8572115202282,109.4,0.005540827166021286
4200.5,1521.8997926612155,109.5,0.005496043386688032
4200.6,1524.932448263182,109.5,0.005490372218072765
4200.7,1527.9639000605273,109.5,0.005481653677011414
4200.8,1530.9965556624938,109.6,0.005440948553748246
4200.9,1534.0391368035969,109.6,0.005437981385703222
4201.0,1537.0705886010526,109.7,0.0054026852423825775
4201.1,1540.2031275074537,109.7,0.005393963263859112
4201.2,1543.3456265129673,109.7,0.005388425456521121
4201.3,1546.4772874141877,109.7,0.005396021948299839
4201.4,1549.6098263205056,109.7,0.005401678887986724
4201.5,1552.751450104521,109.7,0.005415485701282526
4201.6,1555.883989010922,109.7,0.005430783243263618
4201.7,1559.0156499120621,109.7,0.0054508537504329
4201.8,1562.1481888184633,109.7,0.005473797115751278
4201.9,1565.2898126023986,109.6,0.0055378106089613915
4202.0,1568.4223515087997,109.6,0.0055693429171934684
4202.1,1571.6463242133782,109.5,0.005618618283238359
4202.2,1574.870296918073,109.5,0.005617327107914378
4202.3,1578.0937888134642,109.4,0.0056623922391641265
4202.4,1581.307773878739,109.4,0.005660776473973456
4202.5,1584.5317465833175,109.3,0.005696041408492663
4202.6,1587.7557192880124,109.3,0.005700792705798025
4202.7,1590.979691992591,109.3,0.005703999062303668
4202.8,1594.203183887982,109.2,0.005760986213708935
4202.9,1597.4271565925606,109.2,0.005773860556932834
4203.0,1600.6511292972555,109.1,0.005829362503521645
4203.1,1603.9413724492858,109.0,0.00587564808278594
4203.2,1607.2417512154714,108.9,0.005916219525355028
4203.3,1610.5319943676182,108.8,0.005960277822314765
4203.4,1613.8323731336873,108.7,0.006001080324107003
4203.5,1617.1326155490729,108.6,0.006047191518317931
4203.6,1620.4228587011032,108.4,0.00614569971579455
4203.7,1623.7232374672888,108.3,0.00620744559416467
4203.8,1627.0134806194355,108.2,0.006266785979196189
4203.9,1630.3138593855188,108.0,0.006374621477935948
4204.0,1633.6141018009043,107.9,0.006435720255986244
4204.1,1636.9441618603837,107.8,0.006507175277890038
4204.2,1640.2742969928538,107.7,0.006569310832052971
4204.3,1643.6043570523277,107.5,0.006679777283967574
4204.4,1646.944491780119,107.4,0.006731379026698693
4204.5,1650.2746269125892,107.3,0.006788500861804155
4204.6,1653.604686972063,107.1,0.00688276304584202
4204.7,1656.9348221044168,107.0,0.006934450205450613
4204.8,1660.2748819842006,106.8,0.007034802528760166
4204.9,1663.6050171165543,106.6,0.007139660226579328
4205.0,1666.9350771760282,106.4,0.007244477159727779
4205.1,1670.2551374165137,106.3,0.007318457559495484
4205.2,1673.5851974759876,106.1,0.007436326657710665
4205.3,1676.905257716473,105.9,0.0075527400240455985
4205.4,1680.225393255826,105.7,0.007663421396993499
4205.5,1683.5454534961893,105.5,0.00777683453308176
4205.6,1686.8655137366748,105.3,0.007887138940115203
4205.7,1690.185573977038,105.1,0.00799142292533921
4205.8,1693.5156340366339,104.9,0.008095836042639738
4205.9,1696.8356942769972,104.7,0.008200544534896825
4206.0,1700.155754517477,104.5,0.008309631158885503
4206.1,1703.4261367580325,104.3,0.008417028085210112
4206.2,1706.6963813972186,104.2,0.008466597636614965
4206.3,1709.9567648102611,104.0,0.00858022326692424
4206.4,1713.2271470509331,103.9,0.008623697095359753
4206.5,1716.4975292916051,103.8,0.008666534810410721
4206.6,1719.7677739307912,103.6,0.008773823269258782
4206.7,1723.0381561714632,103.5,0.008817420653786441
4206.8,1726.2985395844034,103.3,0.00891740386107581
4206.9,1729.5687842235895,103.2,0.00896483640112128
4207.0,1732.8391664642616,103.0,0.009070942303588308
4207.1,1736.053664869882,102.9,0.009113617862802376
4207.2,1739.278149324883,102.8,0.009155402111659572
4207.3,1742.4926477305034,102.7,0.009196277545277291
4207.4,1745.7071461361238,102.6,0.009221806385818312
4207.5,1748.9211312015148,102.5,0.009257029694345924
4207.6,1752.1456156563997,102.4,0.009273369157641532
4207.7,1755.36011406202,102.3,0.009279383652433925
4207.8,1758.5746124677567,102.2,0.009289784436681547
4207.9,1761.789110873377,102.1,0.009301426395795393
4208.0,1765.0036092789974,102.0,0.009318837160906498
4208.1,1768.1968051703182,102.0,0.009278365292774777
4208.2,1771.390001061523,101.9,0.009304252247851731
4208.3,1774.5741650020502,101.8,0.009325469666598609
4208.4,1777.767360893371,101.8,0.00928423933004251
4208.5,1780.95152483387,101.7,0.009315276052902985
4208.6,1784.1447207251908,101.7,0.009271010234533425
4208.7,1787.3379166163957,101.7,0.009231619660531867
4208.8,1790.522080556923,101.7,0.009189719372877282
4208.9,1793.7152764481277,101.7,0.009148908409517594
4209.0,1796.899440388655,101.6,0.009173181638389781
4209.1,1800.0921351752233,101.6,0.00914069669839245
4209.2,1803.2749012676948,101.6,0.009113963102464972
4209.3,1806.4675960542631,101.6,0.009082423188239461
4209.4,1809.65036214685,101.5,0.009122840943434293
4209.5,1812.8430569334137,101.4,0.009147740618798049
4209.6,1816.0258230260006,101.4,0.009122611482287483
4209.7,1819.218517812569,101.3,0.00916038333682902
4209.8,1822.4012839051559,101.2,0.009197427601621157
4209.9,1825.5939786916088,101.1,0.009230927456508461
4210.0,1828.7767447841957,101.0,0.009270063434029828
4210.1,1832.002903490742,100.9,0.009309277207162178
4210.2,1835.2290621974037,100.8,0.009351934138058581
4210.3,1838.4539652966075,100.7,0.009388347602555887
4210.4,1841.6801240032692,100.6,0.009429801733898723
4210.5,1844.9062827098155,100.4,0.009533078717532258
4210.6,1848.1324414163619,100.3,0.00957394861491173
4210.7,1851.3474219762852,100.1,0.009681881939096302
4210.8,1854.573580682713,100.0,0.009722980237123143
4210.9,1857.7997393893747,99.7,0.00990225683794763
4211.0,1861.024642488694,99.5,0.010013137528570809
4211.1,1864.305572234992,99.3,0.010181213691070149
4211.2,1867.5853893030053,99.0,0.010416781297132301
4211.3,1870.8762554504206,98.8,0.010582656724569069
4211.4,1874.1560725185361,98.6,0.010762059586887496
4211.5,1877.437002264834,98.3,0.01102030005663761
4211.6,1880.7168193327316,98.1,0.011219329540205311
4211.7,1883.9966364008471,97.9,0.011412154943494433
4211.8,1887.277566147145,97.7,0.011619592739185914
4211.9,1890.5673229771194,97.4,0.011912671593502257
4212.0,1893.8482527233125,97.2,0.012133736122637741
4212.1,1897.1584793017623,96.9,0.012417412058225568
4212.2,1900.459539737325,96.6,0.012718619197432803
4212.3,1903.770566768409,96.4,0.0129544959701679
4212.4,1907.081593799417,96.1,0.013259712179601644
4212.5,1910.392620830385,95.9,0.013495521795880988
4212.6,1913.7036478613932,95.7,0.013738008375872577
4212.7,1917.0146748923612,95.5,0.013981835345516183
4212.8,1920.3257019233693,95.4,0.014128245597386669
4212.9,1923.6359285017459,95.2,0.01437894854692945
4213.0,1926.9369889373847,95.1,0.01454674798322451
4213.1,1930.2708305653784,94.9,0.014770839717092706
4213.2,1933.6042072316964,94.7,0.015001056717898857
4213.3,1936.9275940583796,94.6,0.015143955283311215
4213.4,1940.260970724814,94.5,0.015287110811707002
4213.5,1943.5943473911739,94.4,0.015424470267856287
4213.6,1946.9177342179735,94.3,0.01554757941288343
4213.7,1950.2515758458062,94.2,0.015673498181774142
4213.8,1953.5849525121662,94.2,0.015690307701127455
4213.9,1956.9083393389658,94.2,0.01570252262696522
4214.0,1960.2417160052837,94.1,0.015812187385555673
4214.1,1963.5920891188077,94.1,0.015805224678180452
4214.2,1966.942327916244,94.0,0.01593152769561441
4214.3,1970.2825674286987,94.0,0.015952427144409472
4214.4,1973.632806226135,94.0,0.015997977888450518
4214.5,1976.983179339659,93.9,0.016159659694370648
4214.6,1980.3334181370954,93.9,0.016235649243963084
4214.7,1983.683656934648,93.8,0.016429145657550655
4214.8,1987.0338957320844,93.7,0.01662004690549993
4214.9,1990.3742699625946,93.6,0.01679715522848525
4215.0,1993.7245087600309,93.5,0.016996569947041167
4215.1,1997.0845236409384,93.4,0.01719154099096402
4215.2,2000.4345385663707,93.3,0.017412678862027475
4215.3,2003.7945385663568,93.2,0.01765025178635375
4215.4,2007.1445534916727,93.2,0.017801490147006667
4215.5,2010.5045683725775,93.1,0.018099069360349444
4215.6,2013.8545832978962,93.0,0.018437384327420595
4215.7,2017.214598178801,92.8,0.01891577230874196
4215.8,2020.5746130597058,92.6,0.019439385493474178
4215.9,2023.924613059799,92.4,0.020020346779646578
4216.0,2027.2846279407038,92.1,0.02076386518109607
4216.1,2030.6246429106968,91.9,0.02155375134125447
4216.2,2033.9647027903643,91.8,0.0222202353311569
4216.3,2037.3047177604765,91.6,0.023062564340736183
4216.4,2040.644777640144,91.6,0.023586776310268558
4216.5,2043.984792610137,91.5,0.024169211093174256
4216.6,2047.3248524898102,91.5,0.024513638595177006
4216.7,2050.6649123695943,91.5,0.024731205966451814
4216.8,2054.0049273395875,91.5,0.024849641912424524
4216.9,2057.3449872192605,91.5,0.024870779577463375
4217.0,2060.68500218937,91.5,0.024788128107557986
4217.1,2063.9668461831475,91.5,0.024649845070067632
4217.2,2067.2386958129428,91.5,0.0244011965229732
4217.3,2070.5205398068365,91.6,0.02386386098693692
4217.4,2073.792389436663,91.7,0.02323103889475255
4217.5,2077.0642390664584,91.8,0.022547665530371908
4217.6,2080.3460830602357,91.9,0.021844472423541074
4217.7,2083.6179326900624,92.2,0.020901811270686483
4217.8,2086.899776683925,92.6,0.019893147585197956
4217.9,2090.171626313752,93.1,0.01882653299924434
4218.0,2093.4534703076456,93.8,0.01761128180545479
4218.1,2096.652485781085,94.4,0.016539742010270843
4218.2,2099.851501254594,95.0,0.01556705998296094
4218.3,2103.051282497177,95.5,0.014782089476897065
4218.4,2106.250297970686,96.0,0.014064467569911254
4218.5,2109.4493134443114,96.5,0.01340096033260517
4218.6,2112.6490946867784,96.9,0.012849800215332148
4218.7,2115.848110160334,97.2,0.012441267714147766
4218.8,2119.047891402801,97.6,0.01196905778750428
