fid,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,cond_8,cond_9,cond_10,cond_11,cond_12,cond_13,cond_14,cond_15,cond_16,cond_17,cond_18,cond_19
2323.0,0.01111986533555413,0.01069209360051428,0.009831221289904457,0.00876070782447476,0.007883651321046216,0.007685318382929598,0.008972289664413541,0.014583335828547593,0.04091795420934834,0.1457264986181817,0.15740929300523562,0.12180917678827125,0.11283421213483609,0.10657542697284307,0.09342763051512694,0.08090376371217711,0.0708244372746429,0.06309484971142057,0.0591719176833866
2323.1,0.011075504135543132,0.010628317988735028,0.009733693574863115,0.008630398804620779,0.0077328837764207995,0.007523375428059522,0.008796977061581312,0.014409012901709867,0.04113526564991104,0.14616959937738966,0.1571445906685634,0.12151972237029043,0.11228701124161734,0.10596497444738855,0.09291210912766913,0.0804920113857983,0.07049804832078416,0.06283145208503507,0.05894165387334803
2323.2,0.011042308269352706,0.010584848550648791,0.009667712667517717,0.008527332811001537,0.007574330150803814,0.007296216756328281,0.00850394090188578,0.013930368515558256,0.03750481384218308,0.14041940701416036,0.15999210666304517,0.12102143963377616,0.10987051448824929,0.1024507185392266,0.08967781578313075,0.0778444763785072,0.06843507157382393,0.06112817288367517,0.057457999973908186
2323.3,0.011000500333365422,0.010522289758960754,0.009569434233598283,0.008394284317827468,0.007418502069968108,0.007126175472100696,0.008316042701165502,0.013718871389869786,0.03739873472952735,0.14072391008622118,0.15961313971949115,0.12042596491818731,0.10895855189174508,0.10148531383911864,0.08886933220951769,0.07719747058407495,0.06792823355618424,0.060727565334745305,0.05710774086772651
2323.4,0.010962593182691868,0.010463895087632869,0.009476063943476276,0.008267227350520647,0.007269318334931992,0.00696212408478128,0.008130826213651734,0.013498354901232518,0.03724489591434015,0.1409853081254972,0.15895821072801034,0.1195549515516951,0.10791849829152549,0.10058703569363558,0.08819150341356281,0.07665961988793994,0.06750224183881341,0.06038977493160186,0.056812389648677804
2323.5,0.010666804067376337,0.01018586987696513,0.009231767392951975,0.008061801754783968,0.007094079501318148,0.006796720784574141,0.007938867937032006,0.013193526227611982,0.036579722428259805,0.14003791130858498,0.1588536982937171,0.11917515390976655,0.10755098214782646,0.1005179873150415,0.08826203334827741,0.07672247897323126,0.06754362716052581,0.06042115527042875,0.056840130291744916
2323.6,0.010418764866116455,0.009950128771713118,0.00901958485371692,0.00787702170790793,0.0069300491211091025,0.006636058561431463,0.007747023177150649,0.012883917429480475,0.03591606084586631,0.13936726574933472,0.15845941632447,0.11840844136667186,0.10679898294014045,0.10014791632296022,0.0881291117318409,0.07663061983565873,0.06746221003937851,0.060354694006968884,0.05678222726458414
2323.7,0.010171050378269039,0.009716017622135163,0.00881103928248406,0.00769733075525396,0.00677109641496599,0.006478620362886656,0.007553057798188137,0.012552825630445784,0.03514135916052459,0.13855271877268788,0.15826763277979813,0.11822512105174361,0.10721792874824702,0.10121870630385395,0.08922557690821216,0.0775011243316523,0.0681293088450547,0.060880710219108,0.057242728270711515
2323.8,0.009946265142398015,0.009503028428673514,0.008619986437020956,0.007530577106597294,0.006620741863333552,0.00632610566160907,0.007360142115230898,0.012214352552058536,0.034329933684296,0.13783541307903624,0.15815739282342575,0.11799797140886092,0.10758486422323947,0.10230647635740052,0.09037837331955118,0.07842272831065708,0.06883448238765978,0.06143584923088139,0.05772840456699814
2323.9,0.009740542193021319,0.009308268958579597,0.008445400275628333,0.007377943750334388,0.006482263823191186,0.0061840116201407475,0.007177556779557746,0.011887985830844567,0.03353187577178797,0.13722531662311988,0.1582054544498006,0.11788837725806076,0.10808056523631737,0.10344486674427107,0.09149873452176144,0.07929888934688659,0.0695048242896734,0.06196407934092791,0.05819022997174375
2324.0,0.009539930590576092,0.009119751076644082,0.008278867608806882,0.007234879925686084,0.0063540228687276575,0.006052311171135336,0.007005726952105005,0.011572585211902105,0.03273514141931295,0.13678112438265713,0.1585682174559184,0.11769976088645329,0.10806695837675963,0.10380251055066791,0.09192261212535652,0.07963520134656966,0.06975924711374713,0.06216378083976299,0.05836481063789058
2324.1,0.009340170781019917,0.00893352139115956,0.008117274006295068,0.007099692597100675,0.006236202985760114,0.005933655516543823,0.006851669866760793,0.011286931045333836,0.03199182204800411,0.13630379364028025,0.15904729949337018,0.11767903823551742,0.10824454670190181,0.10421290268189475,0.09227872598774124,0.07989407791908025,0.06995593943715268,0.06231933009135079,0.05850071805229152
2324.2,0.009131931751195607,0.008740883935689196,0.007953205896126584,0.006966533179156132,0.0061242218548869486,0.005823908617061953,0.006710136313347769,0.011020155482396902,0.031267514637763665,0.13581187523371432,0.15975382586589712,0.11736550307490037,0.10752586038221872,0.10341246599465014,0.09159649816882169,0.07934972625780493,0.0695317105338436,0.061984622569748044,0.05820839745806838
2324.3,0.008713254439492451,0.008364304785001336,0.00765480274011871,0.0067546485113250815,0.005976982961552443,0.005702856666618797,0.006560342090780206,0.01070355280002696,0.03018987565825333,0.1337551200667475,0.1611523752607544,0.11715018395111435,0.10662663434249527,0.10229655338194057,0.0906134545259401,0.07855731971263304,0.06891404259763902,0.06149806133462109,0.05778332652405908
2324.4,0.008496961145895382,0.008164103644309285,0.007484976459816924,0.00661921916248184,0.005867302660235028,0.005600648893744415,0.006433919423767831,0.010468253641195375,0.02952182064055808,0.13304211199028945,0.16193090220178472,0.11651912652630336,0.10527149729988201,0.10071892271945677,0.08925284508265136,0.0774715856144014,0.06806682972964925,0.060828663113256055,0.05719814717760295
2324.5,0.008468084764451964,0.008128537000909753,0.007437175689627966,0.0065581019735807015,0.005794938854012133,0.005516422470929493,0.0063265930406406195,0.010299175676930162,0.029207950564337306,0.1336601355522241,0.16238379319312118,0.11575321753108882,0.1036743999082064,0.09865787177639103,0.08738042966826516,0.0759663629790587,0.06689397777938424,0.05990150981976431,0.05638682671687157
